"separation [m]","tilt [N]","vibrations [N]","temperature fluct. [N]","frequency measurement [N]","patches [N]"
1.e-6,9.297939872260446e-14,1.1280294838181181e-10,7.359789807551951e-12,4.817881753793924e-11,1.172604341280141e-10
1.5e-6,8.694194695378819e-15,1.054811104839882e-11,1.0132626003919668e-12,9.942030062895273e-12,7.023535482753462e-11
2.e-6,1.5894415296817173e-15,1.929874469071991e-12,2.461820245305891e-13,3.275191713792644e-12,3.905971753608862e-11
2.4999999999999998e-6,4.229866743709773e-16,5.189954707756445e-13,8.208819101093197e-14,1.4257013965706005e-12,2.0220651671174953e-11
3.e-6,1.4275870359441495e-16,1.897648400823642e-13,3.368098102006764e-14,7.642018986252886e-13,1.0205286650290278e-11
3.4999999999999995e-6,5.693783119955381e-17,1.0385438244284459e-13,1.6081435243216962e-14,4.907075741559983e-13,5.508567128385773e-12
4.e-6,2.5911486041373102e-17,8.367971934657558e-14,8.634220712446288e-15,3.6842359224024015e-13,3.2289637455636706e-12
4.5e-6,1.3077333142359076e-17,7.915676218063775e-14,5.081725740644853e-15,3.110584841012179e-13,2.0158291573340747e-12
4.9999999999999996e-6,7.217932013216146e-18,7.804333476496009e-14,3.212330825081814e-15,2.8289308838671857e-13,1.3225853848283757e-12
5.5e-6,4.276215125133094e-18,7.77238365721861e-14,2.145764496846021e-15,2.683406430789551e-13,9.033429794415271e-13
5.999999999999999e-6,2.684167328425825e-18,7.761884246504789e-14,1.4960569619911769e-15,2.604159749064417e-13,6.378299099163811e-13
6.5e-6,1.7653127442759888e-18,7.758006907445234e-14,1.078793767579994e-15,2.558807976473298e-13,4.630734889876176e-13
7.e-6,1.2072961860598335e-18,7.756433232849075e-14,7.992981185814975e-16,2.5316621496388883e-13,3.44285091736782e-13
7.499999999999999e-6,8.488906268890325e-19,7.755733985540402e-14,6.055940536540956e-16,2.514751264197166e-13,2.612524999498957e-13
8.e-6,6.127559331854938e-19,7.75540647569376e-14,4.675606057774259e-16,2.5038351261949746e-13,2.0181017767998983e-13
8.5e-6,4.517140913568025e-19,7.755243805590673e-14,3.668716906376638e-16,2.4965611426484e-13,1.5835384067235599e-13
9.e-6,3.3959820561477564e-19,7.755159616202129e-14,2.919577729474776e-16,2.4915735434465545e-13,1.2598994004047726e-13
9.5e-6,2.5925836616874525e-19,7.755113960005934e-14,2.3526281870785544e-16,2.488064033431879e-13,1.014873711985392e-13
0.00001,2.0045661027593085e-19,7.755088307698822e-14,1.9169546555623038e-16,2.4855357879752544e-13,8.26619706484359e-14
0.0000105,1.5722673620958033e-19,7.755073634293744e-14,1.5777201076521483e-16,2.483674895742023e-13,6.80059737855713e-14
0.000011,1.246865365862982e-19,7.755064928975021e-14,1.3103127675935516e-16,2.4822780062470674e-13,5.645888733708422e-14
0.0000115,9.98544356569628e-20,7.755059637724993e-14,1.097247865342509e-16,2.4812103390499223e-13,4.7262058797886844e-14
0.000012,8.072936073518617e-20,7.755056360314072e-14,9.257913762306772e-17,2.4803806693206327e-13,3.986418369121789e-14
0.0000125,6.585221691921306e-20,7.755054290898343e-14,7.865574785189e-17,2.4797260489723173e-13,3.385868959466985e-14
0.000013000000000000001,5.415742432783898e-20,7.755052959041582e-14,6.725442040257035e-17,2.4792022576020336e-13,2.8942202394216793e-14
0.0000135,4.486508089039714e-20,7.755052085854523e-14,5.784636542369162e-17,2.4787777106571017e-13,2.4886768124383845e-14
0.000014,3.7402709768341215e-20,7.755051503275517e-14,5.002743883647781e-17,2.4784294973008403e-13,2.1517773551877102e-14
0.0000145,3.1361602959713315e-20,7.755051109065863e-14,4.3485298264896415e-17,2.4781407565198146e-13,1.869968954096754e-14
0.000015,2.651316942535184e-20,7.755050842785987e-14,3.7978795262109844e-17,2.4778989111335446e-13,1.6328211534738713e-14
0.0000155,2.2498503252288273e-20,7.755050656063416e-14,3.331741775285499e-17,2.477694461469474e-13,1.432133543907897e-14
0.000016,1.920412398465086e-20,7.755050525691605e-14,2.9348921694768815e-17,2.477520144532552e-13,1.2613158616996038e-14
0.0000165,1.646824026450306e-20,7.755050433077879e-14,2.5954910632304068e-17,2.4773703468639404e-13,1.1152482658629393e-14
0.000017,1.4190558058159952e-20,7.755050366811375e-14,2.3036936143007835e-17,2.47724068336801e-13,9.897167693675951e-15
0.0000175,1.226884785855021e-20,7.755050318559645e-14,2.0518309812902532e-17,2.4771276950503263e-13,8.813588318673942e-15
0.000018,1.0669450523326315e-20,7.755050283744795e-14,1.833435301298815e-17,2.4770286272834707e-13,7.874418175699773e-15
0.0000185,9.299826029252466e-21,7.755050257790596e-14,1.6433303168555734e-17,2.476941268116259e-13,7.056952228147233e-15
0.000019,8.136682456619332e-21,7.755050238544745e-14,1.4772735764763064e-17,2.476863825542542e-13,6.342997973321667e-15
0.0000195,7.153100892601993e-21,7.755050224273685e-14,1.3316529884296092e-17,2.476794836990271e-13,5.7169672961987396e-15
0.000019999999999999998,6.3040088795455466e-21,7.755050213430722e-14,1.2035305185160216e-17,2.476733100038065e-13,5.166403951126781e-15
0.0000205,5.569909511918176e-21,7.75505020515905e-14,1.0904574516542365e-17,2.4766776189200626e-13,4.680471893122178e-15
0.000021,4.93415093313085e-21,7.75505019882194e-14,9.903670143336213e-18,2.476627563658703e-13,4.2503957950974596e-15
0.0000215,4.388836961066668e-21,7.755050193997518e-14,9.015050835799844e-18,2.476582238208342e-13,3.868595621334895e-15
0.000022,3.9146475969849755e-21,7.75505019026112e-14,8.223841460033576e-18,2.4765410554368727e-13,3.52868923959942e-15
0.000022499999999999998,3.4999389005150244e-21,7.755050187343217e-14,7.517536168515348e-18,2.4765035172755203e-13,3.225371644147704e-15
0.000023,3.1364616837511592e-21,7.75505018505418e-14,6.885449620037283e-18,2.476469198972388e-13,2.9538721319827372e-15
0.0000235,2.817153407537568e-21,7.755050183250214e-14,6.318423802886509e-18,2.476437736500387e-13,2.7104283534927637e-15
